Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Have you ever vaped?,Do you have any form of social media?,Approximately how much time do you spend on social media per day?
,,,,,,,,,Response,Response,Response
11316188558,252912708,02/01/2020 03:39:50 PM,02/01/2020 03:40:13 PM,,,,,,No,Yes,4 hours or more
11316186136,252912708,02/01/2020 03:36:34 PM,02/01/2020 03:36:47 PM,,,,,,No,Yes,4 hours or more
11316157442,252912708,02/01/2020 02:58:57 PM,02/01/2020 02:59:13 PM,,,,,,No,Yes,3 hours
11316149765,252912708,02/01/2020 02:49:05 PM,02/01/2020 02:49:17 PM,,,,,,No,Yes,4 hours or more
11316117205,252912708,02/01/2020 02:07:59 PM,02/01/2020 02:08:10 PM,,,,,,No,Yes,4 hours or more
11316112985,252912708,02/01/2020 02:03:07 PM,02/01/2020 02:03:16 PM,,,,,,No,Yes,4 hours or more
11316111742,252912708,02/01/2020 02:01:47 PM,02/01/2020 02:01:56 PM,,,,,,No,Yes,3 hours
11316072183,252912708,02/01/2020 01:13:25 PM,02/01/2020 01:14:20 PM,,,,,,Yes,Yes,3 hours
11316042792,252912708,02/01/2020 12:40:25 PM,02/01/2020 12:40:56 PM,,,,,,No,Yes,4 hours or more
11316040290,252912708,02/01/2020 12:37:56 PM,02/01/2020 12:38:09 PM,,,,,,No,Yes,4 hours or more
11316039618,252912708,02/01/2020 12:37:17 PM,02/01/2020 12:37:27 PM,,,,,,Yes,Yes,3 hours
11316006484,252912708,02/01/2020 12:01:32 PM,02/01/2020 12:02:05 PM,,,,,,No,Yes,30 minutes or less
11315919258,252912708,02/01/2020 10:33:45 AM,02/01/2020 10:33:54 AM,,,,,,Yes,Yes,4 hours or more
11315919208,252912708,02/01/2020 10:33:39 AM,02/01/2020 10:33:51 AM,,,,,,No,Yes,4 hours or more
11315899977,252912708,02/01/2020 10:15:08 AM,02/01/2020 10:15:18 AM,,,,,,No,Yes,2 hours
11315875924,252912708,02/01/2020 09:48:40 AM,02/01/2020 09:52:23 AM,,,,,,No,Yes,4 hours or more
11315865867,252912708,02/01/2020 09:42:30 AM,02/01/2020 09:42:50 AM,,,,,,No,Yes,2 hours
11315819520,252912708,02/01/2020 09:01:26 AM,02/01/2020 09:01:39 AM,,,,,,No,Yes,4 hours or more
11315807822,252912708,02/01/2020 08:51:26 AM,02/01/2020 08:51:37 AM,,,,,,No,Yes,3 hours
11315803414,252912708,02/01/2020 08:47:34 AM,02/01/2020 08:47:50 AM,,,,,,No,Yes,2 hours
11315796792,252912708,02/01/2020 08:41:56 AM,02/01/2020 08:42:11 AM,,,,,,Yes,Yes,3 hours
11315787283,252912708,02/01/2020 08:34:03 AM,02/01/2020 08:34:13 AM,,,,,,No,Yes,4 hours or more
11315746647,252912708,02/01/2020 08:01:49 AM,02/01/2020 08:02:07 AM,,,,,,No,Yes,2 hours
11315734786,252912708,02/01/2020 07:51:49 AM,02/01/2020 07:52:08 AM,,,,,,No,Yes,2 hours
11315667513,252912708,02/01/2020 06:57:03 AM,02/01/2020 06:57:16 AM,,,,,,No,Yes,4 hours or more
11315595686,252912708,02/01/2020 05:56:47 AM,02/01/2020 05:57:02 AM,,,,,,No,Yes,4 hours or more
11315590972,252912708,02/01/2020 05:52:49 AM,02/01/2020 05:53:13 AM,,,,,,Yes,Yes,4 hours or more
11315586694,252912708,02/01/2020 05:49:29 AM,02/01/2020 05:49:43 AM,,,,,,No,Yes,4 hours or more
11315560782,252912708,02/01/2020 05:27:34 AM,02/01/2020 05:27:49 AM,,,,,,No,Yes,4 hours or more
11315542656,252912708,02/01/2020 05:12:40 AM,02/01/2020 05:12:52 AM,,,,,,Yes,Yes,4 hours or more
11315537886,252912708,02/01/2020 05:08:44 AM,02/01/2020 05:09:02 AM,,,,,,No,Yes,2 hours
11315532818,252912708,02/01/2020 05:04:33 AM,02/01/2020 05:04:59 AM,,,,,,No,Yes,1 hour
11315522366,252912708,02/01/2020 04:56:05 AM,02/01/2020 04:56:19 AM,,,,,,Yes,Yes,4 hours or more
11315504873,252912708,02/01/2020 04:40:55 AM,02/01/2020 04:41:21 AM,,,,,,Yes,Yes,4 hours or more
11315498765,252912708,02/01/2020 04:35:52 AM,02/01/2020 04:36:02 AM,,,,,,No,Yes,3 hours
11315481795,252912708,02/01/2020 04:21:10 AM,02/01/2020 04:21:27 AM,,,,,,Yes,Yes,4 hours or more
11315477451,252912708,02/01/2020 04:17:22 AM,02/01/2020 04:17:35 AM,,,,,,No,Yes,4 hours or more
11315475476,252912708,02/01/2020 04:15:22 AM,02/01/2020 04:15:54 AM,,,,,,No,Yes,4 hours or more
11315467763,252912708,02/01/2020 04:09:17 AM,02/01/2020 04:09:29 AM,,,,,,Yes,Yes,4 hours or more
